existing_id,existing_school_name,existing_department,official_school_name,official_department,track,match_status,difference,suggested_new_id,notes
nanbuno-sk,南部農林,食品加工科,南部農林,食品加工科,全日制,exact_match,,,令和8年度公式一覧 No.80
nanbuno-ks,南部農林,環境創造科,南部農林,環境創造科,全日制,exact_match,,,令和8年度公式一覧 No.81
nanbuno-sd,南部農林,生活デザイン科,南部農林,生活デザイン科,全日制,exact_match,,,令和8年度公式一覧 No.82
yaeno-af,八重山農林,アグリフード科,八重山農林,アグリフード科,全日制,exact_match,,,令和8年度公式一覧 No.83
yaeno-gl,八重山農林,グリーンライフ科,八重山農林,グリーンライフ科,全日制,exact_match,,,令和8年度公式一覧 No.84
yaeno-fp,八重山農林,フードプロデュース科,八重山農林,フードプロデュース科,全日制,exact_match,,,令和8年度公式一覧 No.85
yaeno-ls,八重山農林,ライフスキル科,八重山農林,ライフスキル科,全日制,exact_match,,,令和8年度公式一覧 No.86
miraikoka-ms,美来工科,機械システム科,美来工科,機械システム科,全日制,exact_match,,,令和8年度公式一覧 No.87
miraikoka-jd,美来工科,自動車工学科,美来工科,自動車工学科,全日制,exact_match,,,令和8年度公式一覧 No.88
miraikoka-es,美来工科,電子システム科,美来工科,電子システム科,全日制,exact_match,,,令和8年度公式一覧 No.89
miraikoka-dk,美来工科,土木工学科,美来工科,土木工学科,全日制,exact_match,,,令和8年度公式一覧 No.90
miraikoka-it,美来工科,ITシステム科,美来工科,ITシステム科,全日制,exact_match,,,令和8年度公式一覧 No.91
miraikoka-cd,美来工科,コンピュータデザイン科,美来工科,コンピュータデザイン科,全日制,exact_match,,,令和8年度公式一覧 No.92
misatoko-ki,美里工業,機械科,美里工業,機械科,全日制,exact_match,,,令和8年度公式一覧 No.93
misatoko-de,美里工業,電気科,美里工業,電気科,全日制,exact_match,,,令和8年度公式一覧 No.94
misatoko-ke,美里工業,建築科,美里工業,建築科,全日制,exact_match,,,令和8年度公式一覧 No.95
misatoko-se,美里工業,設備工業科,美里工業,設備工業科,全日制,exact_match,,,令和8年度公式一覧 No.96
misatoko-ch,美里工業,調理科,美里工業,調理科,全日制,exact_match,,,令和8年度公式一覧 No.97
urako-johogi,浦添工業,情報技術科,浦添工業,情報技術科,全日制,exact_match,,,令和8年度公式一覧 No.98
urako-kenchiku,浦添工業,建築科,浦添工業,建築科,全日制,exact_match,,,令和8年度公式一覧 No.99
urako-interior,浦添工業,インテリア科,浦添工業,インテリア科,全日制,exact_match,,,令和8年度公式一覧 No.100
urako-design,浦添工業,デザイン科,浦添工業,デザイン科,全日制,exact_match,,,令和8年度公式一覧 No.101
urako-chori,浦添工業,調理科,浦添工業,調理科,全日制,exact_match,,,令和8年度公式一覧 No.102
nahako-kikai,那覇工業,機械科,那覇工業,機械科,全日制,exact_match,,,令和8年度公式一覧 No.103
nahako-jidosha,那覇工業,自動車科,那覇工業,自動車科,全日制,exact_match,,,令和8年度公式一覧 No.104
nahako-denki,那覇工業,電気科,那覇工業,電気科,全日制,exact_match,,,令和8年度公式一覧 No.105
nahako-graphic,那覇工業,グラフィックアーツ科,那覇工業,グラフィックアーツ科,全日制,exact_match,,,令和8年度公式一覧 No.106
nahako-fuku,那覇工業,服飾デザイン科,那覇工業,服飾デザイン科,全日制,exact_match,,,令和8年度公式一覧 No.107
,,,那覇工業,機械科,定時制,missing_in_index,公式一覧にはあるが既存index.htmlに対応IDがない。,nahako-night-kikai,令和8年度公式一覧 No.108
,,,那覇工業,電気科,定時制,missing_in_index,公式一覧にはあるが既存index.htmlに対応IDがない。,nahako-night-denki,令和8年度公式一覧 No.109
okiko-denshiki,沖縄工業,電子機械科,沖縄工業,電子機械科,全日制,exact_match,,,令和8年度公式一覧 No.110
okiko-johoden,沖縄工業,情報電子科,沖縄工業,情報電子科,全日制,exact_match,,,令和8年度公式一覧 No.111
okiko-kenchiku,沖縄工業,建築科,沖縄工業,建築科,全日制,exact_match,,,令和8年度公式一覧 No.112
okiko-doboku,沖縄工業,土木科,沖縄工業,土木科,全日制,exact_match,,,令和8年度公式一覧 No.113
okiko-kagaku,沖縄工業,工業化学科,沖縄工業,工業化学科,全日制,exact_match,,,令和8年度公式一覧 No.114
okiko-seikatsu,沖縄工業,生活情報科,沖縄工業,生活情報科,全日制,exact_match,,,令和8年度公式一覧 No.115
nanbuko-ki,南部工業,機械科,南部工業,機械科,全日制,exact_match,,,令和8年度公式一覧 No.116
nanbuko-de,南部工業,電気科,南部工業,電気科,全日制,exact_match,,,令和8年度公式一覧 No.117
nanbuko-kd,南部工業,建築設備科（建築デザイン）,南部工業,建築設備科（建築デザイン）,全日制,exact_match,,,令和8年度公式一覧 No.118
nanbuko-sg,南部工業,建築設備科（設備工学）,南部工業,建築設備科（設備工学）,全日制,exact_match,,,令和8年度公式一覧 No.119
miyakoko-jm,宮古工業,自動車機械システム科,宮古工業,自動車機械システム科,全日制,exact_match,,,令和8年度公式一覧 No.120
miyakoko-dj,宮古工業,電気情報科,宮古工業,電気情報科,全日制,exact_match,,,令和8年度公式一覧 No.121
miyakoko-sj,宮古工業,生活情報科,宮古工業,生活情報科,全日制,exact_match,,,令和8年度公式一覧 No.122
nagosho-km,名護商工,工業技術科（機械）,名護商工,工業技術科（機械）,全日制,exact_match,,,令和8年度公式一覧 No.123
nagosho-kd,名護商工,工業技術科（電気）,名護商工,工業技術科（電気）,全日制,exact_match,,,令和8年度公式一覧 No.124
nagosho-ke,名護商工,建築科,名護商工,建築科,全日制,exact_match,,,令和8年度公式一覧 No.125
nagosho-sj,名護商工,総合情報科,名護商工,総合情報科,全日制,exact_match,,,令和8年度公式一覧 No.126
nagosho-sh,名護商工,商業科,名護商工,商業科,全日制,exact_match,,,令和8年度公式一覧 No.127
nagosho-cs,名護商工,地域産業科,名護商工,地域産業科,全日制,exact_match,,,令和8年度公式一覧 No.128
yaesho-km,八重山商工,機械電気科（機械）,八重山商工,機械電気科（機械）,全日制,exact_match,,,令和8年度公式一覧 No.129
yaesho-kd,八重山商工,機械電気科（電気）,八重山商工,機械電気科（電気）,全日制,exact_match,,,令和8年度公式一覧 No.130
yaesho-jg,八重山商工,情報技術科,八重山商工,情報技術科,全日制,exact_match,,,令和8年度公式一覧 No.131
yaesho-ka,八重山商工,商業科（会計システム）,八重山商工,商業科（会計システム）,全日制,exact_match,,,令和8年度公式一覧 No.132
yaesho-jb,八重山商工,商業科（情報ビジネス）,八重山商工,商業科（情報ビジネス）,全日制,exact_match,,,令和8年度公式一覧 No.133
yaesho-kk,八重山商工,商業科（観光）,八重山商工,商業科（観光）,全日制,exact_match,,,令和8年度公式一覧 No.134
,,,八重山商工,商業科,定時制,missing_in_index,公式一覧にはあるが既存index.htmlに対応IDがない。,yaesho-night-commerce,令和8年度公式一覧 No.135
gushisho-rk,具志川商業,リゾート観光科,具志川商業,リゾート観光科,全日制,exact_match,,,令和8年度公式一覧 No.136
gushisho-ob,具志川商業,オフィスビジネス科,具志川商業,オフィスビジネス科,全日制,exact_match,,,令和8年度公式一覧 No.137
gushisho-bm,具志川商業,ビジネスマルチメディア科,具志川商業,ビジネスマルチメディア科,全日制,exact_match,,,令和8年度公式一覧 No.138
gushisho-js,具志川商業,情報システム科,具志川商業,情報システム科,全日制,exact_match,,,令和8年度公式一覧 No.139
chubusho-sogo,中部商業,総合ビジネス科,中部商業,総合ビジネス科,全日制,exact_match,,,令和8年度公式一覧 No.140
chubusho-joho,中部商業,情報ビジネス科,中部商業,情報ビジネス科,全日制,exact_match,,,令和8年度公式一覧 No.141
chubusho-kokusai,中部商業,国際ビジネス科,中部商業,国際ビジネス科,全日制,exact_match,,,令和8年度公式一覧 No.142
chubusho-spo,中部商業,生涯スポーツ科,中部商業,生涯スポーツ科,全日制,exact_match,,,令和8年度公式一覧 No.143
urasho-kigyo,浦添商業,企業システム科,浦添商業,企業システム科,全日制,exact_match,,,令和8年度公式一覧 No.144
urasho-it,浦添商業,ITビジネス科,浦添商業,ITビジネス科,全日制,exact_match,,,令和8年度公式一覧 No.145
urasho-kanko,浦添商業,国際観光科,浦添商業,国際観光科,全日制,exact_match,,,令和8年度公式一覧 No.146
nahasho-sho,那覇商業,商業科,那覇商業,商業科,全日制,exact_match,,,令和8年度公式一覧 No.147
nahasho-joho,那覇商業,情報処理科,那覇商業,情報処理科,全日制,exact_match,,,令和8年度公式一覧 No.148
nahasho-kokukei,那覇商業,国際経済科,那覇商業,国際経済科,全日制,exact_match,,,令和8年度公式一覧 No.149
nanbusho-ryu,南部商業,流通クリエイト科,南部商業,流通クリエイト科,全日制,exact_match,,,令和8年度公式一覧 No.150
nanbusho-office,南部商業,オフィスクリエイト科,南部商業,オフィスクリエイト科,全日制,exact_match,,,令和8年度公式一覧 No.151
nanbusho-digi,南部商業,デジタルクリエイト科,南部商業,デジタルクリエイト科,全日制,exact_match,,,令和8年度公式一覧 No.152
nanbusho-kanko,南部商業,観光クリエイト科,南部商業,観光クリエイト科,全日制,exact_match,,,令和8年度公式一覧 No.153
okisui-kg,沖縄水産,海洋技術科,沖縄水産,海洋技術科,全日制,exact_match,,,令和8年度公式一覧 No.154
okisui-ks,沖縄水産,海洋サイエンス科,沖縄水産,海洋サイエンス科,全日制,exact_match,,,令和8年度公式一覧 No.155
okisui-sg,沖縄水産,総合学科,沖縄水産,総合学科,全日制,exact_match,,,令和8年度公式一覧 No.156
miyasou-kk,宮古総合実業,海洋科学科,宮古総合実業,海洋科学科,全日制,exact_match,,,令和8年度公式一覧 No.157
miyasou-sb,宮古総合実業,生物生産科,宮古総合実業,生物生産科,全日制,exact_match,,,令和8年度公式一覧 No.158
miyasou-fc,宮古総合実業,食と環境科（フードクリエイト）,宮古総合実業,食と環境科（フードクリエイト）,全日制,exact_match,,,令和8年度公式一覧 No.159
miyasou-kc,宮古総合実業,食と環境科（環境クリエイト）,宮古総合実業,食と環境科（環境クリエイト）,全日制,exact_match,,,令和8年度公式一覧 No.160
miyasou-sf,宮古総合実業,生活福祉科,宮古総合実業,生活福祉科,全日制,exact_match,,,令和8年度公式一覧 No.161
miyasou-sh,宮古総合実業,商業科,宮古総合実業,商業科,全日制,exact_match,,,令和8年度公式一覧 No.162
,,,泊,普通科（午前部）,定時制,missing_in_index,公式一覧にはあるが既存index.htmlに対応IDがない。,tomari-am,令和8年度公式一覧 No.163
,,,泊,普通科（夜間部）,定時制,missing_in_index,公式一覧にはあるが既存index.htmlに対応IDがない。,tomari-night,令和8年度公式一覧 No.164
tomishiro-t,豊見城,特進コース,,,,missing_in_official_list,令和8年度公式一覧に同名の学科・コースを確認できない。,,削除・名称変更・学科再編の可能性。公式資料で再確認が必要。
nishihara-toku,西原,特別進学コース,,,,missing_in_official_list,令和8年度公式一覧に同名の学科・コースを確認できない。,,削除・名称変更・学科再編の可能性。公式資料で再確認が必要。
hokuno-na,北部農林,熱帯農業科,,,,missing_in_official_list,令和8年度公式一覧に同名の学科・コースを確認できない。,,削除・名称変更・学科再編の可能性。公式資料で再確認が必要。
hokuno-ek,北部農林,園芸工学科,,,,missing_in_official_list,令和8年度公式一覧に同名の学科・コースを確認できない。,,削除・名称変更・学科再編の可能性。公式資料で再確認が必要。
hokuno-sk,北部農林,食品科学科,,,,missing_in_official_list,令和8年度公式一覧に同名の学科・コースを確認できない。,,削除・名称変更・学科再編の可能性。公式資料で再確認が必要。
hokuno-rr,北部農林,林業緑地科,,,,missing_in_official_list,令和8年度公式一覧に同名の学科・コースを確認できない。,,削除・名称変更・学科再編の可能性。公式資料で再確認が必要。
hokuno-sg,北部農林,生活科学科,,,,missing_in_official_list,令和8年度公式一覧に同名の学科・コースを確認できない。,,削除・名称変更・学科再編の可能性。公式資料で再確認が必要。
