existing_id,school_name,school_name_reading,official_school_name,department,course,track,area,reference_year,status,capacity,special_quota_number,special_quota_percent,general_ratio,ratio_type,special_selection_available,main_eligibility,main_achievements,interview,additional_tests,summary,source_count,data_completeness,review_required
chubuno-zo,中部農林,ちゅうぶのうりん,沖縄県立中部農林高等学校,造園科,,全日制,中部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,造園分野の学校資料に定める評定要件を満たすこと／評定1がないこと,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／学校別実績表あり,個人面接／50点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,11,school_detail_confirmed,True
chubuno-sk,中部農林,ちゅうぶのうりん,沖縄県立中部農林高等学校,食品科学科,,全日制,中部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,生活・福祉分野の学校資料に定める評定要件を満たすこと／評定1がないこと,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／学校別実績表あり,個人面接／50点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,11,school_detail_confirmed,True
chubuno-night-agri,中部農林,ちゅうぶのうりん,沖縄県立中部農林高等学校,農業科,,定時制,中部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,3年間に評定1がないこと／定時制農業科の学習に意欲があること,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／学校別実績表あり,個人面接／50点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,11,school_detail_confirmed,True
kumejima-en,久米島,くめじま,沖縄県立久米島高等学校,園芸科,,全日制,南部,令和8年度,previous_reference,40,8,20,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,特別活動／部活動・文化活動／資格／地域・社会活動／当該年度の公式ランク表を確認できず,個人面接（目安10分）／50点,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,8,school_detail_confirmed,True
kumejima-f,久米島,くめじま,沖縄県立久米島高等学校,普通科,,全日制,南部,令和8年度,previous_reference,80,16,20,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,特別活動／部活動・文化活動／資格／地域・社会活動／当該年度の公式ランク表を確認できず,個人面接（目安10分）／50点,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,8,school_detail_confirmed,True
yaeyama-f,八重山,やえやま,沖縄県立八重山高等学校,普通科,,全日制,宮古・八重山,令和8年度,previous_reference,240,48,20,5:5,standard_5_5,True,評定平均3.0以上／学校の活動・出欠要件を満たすこと,文化・スポーツ／資格／特別活動・社会活動／当該年度の公式ランク表を確認できず,学校指定の面接,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,7,school_detail_confirmed,True
yaesho-ka,八重山商工,やえやましょうこう,沖縄県立八重山商工高等学校,商業科,会計システム,全日制,宮古・八重山,令和8年度,previous_reference,30,12,40,5:5,standard_5_5,True,全日制は評定平均3.0以上を基本とし、学校資料の学科別要件を満たすこと,特別活動／部活動・文化活動／資格／専門・社会活動／学校別実績表あり,個人面接・エントリーシート／125点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,11,school_detail_confirmed,True
yaesho-jb,八重山商工,やえやましょうこう,沖縄県立八重山商工高等学校,商業科,情報ビジネス,全日制,宮古・八重山,令和8年度,previous_reference,30,12,40,5:5,standard_5_5,True,全日制は評定平均3.0以上を基本とし、学校資料の学科別要件を満たすこと,特別活動／部活動・文化活動／資格／専門・社会活動／学校別実績表あり,個人面接・エントリーシート／125点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,11,school_detail_confirmed,True
yaesho-kk,八重山商工,やえやましょうこう,沖縄県立八重山商工高等学校,商業科,観光,全日制,宮古・八重山,令和8年度,previous_reference,20,8,40,5:5,standard_5_5,True,全日制は評定平均3.0以上を基本とし、学校資料の学科別要件を満たすこと,特別活動／部活動・文化活動／資格／専門・社会活動／学校別実績表あり,個人面接・エントリーシート／125点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,11,school_detail_confirmed,True
yaesho-jg,八重山商工,やえやましょうこう,沖縄県立八重山商工高等学校,情報技術科,,全日制,宮古・八重山,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,全日制は評定平均3.0以上を基本とし、学校資料の学科別要件を満たすこと,特別活動／部活動・文化活動／資格／専門・社会活動／学校別実績表あり,個人面接・エントリーシート／125点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,11,school_detail_confirmed,True
yaesho-km,八重山商工,やえやましょうこう,沖縄県立八重山商工高等学校,機械電気科,機械,全日制,宮古・八重山,令和8年度,previous_reference,20,8,40,5:5,standard_5_5,True,全日制は評定平均3.0以上を基本とし、学校資料の学科別要件を満たすこと,特別活動／部活動・文化活動／資格／専門・社会活動／学校別実績表あり,個人面接・エントリーシート／125点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,11,school_detail_confirmed,True
yaesho-kd,八重山商工,やえやましょうこう,沖縄県立八重山商工高等学校,機械電気科,電気,全日制,宮古・八重山,令和8年度,previous_reference,20,8,40,5:5,standard_5_5,True,全日制は評定平均3.0以上を基本とし、学校資料の学科別要件を満たすこと,特別活動／部活動・文化活動／資格／専門・社会活動／学校別実績表あり,個人面接・エントリーシート／125点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,11,school_detail_confirmed,True
yaesho-night-commerce,八重山商工,やえやましょうこう,沖縄県立八重山商工高等学校,商業科,,定時制,宮古・八重山,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,定時制商業科の学校資料に定める出願要件を満たすこと,特別活動／部活動・文化活動／資格／専門・社会活動／学校別実績表あり,個人面接・エントリーシート／125点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,11,school_detail_confirmed,True
yaeno-af,八重山農林,やえやまのうりん,沖縄県立八重山農林高等学校,アグリフード科,,全日制,宮古・八重山,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／当該年度の公式ランク表を確認できず,学校指定の面接／200点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・作文。,7,school_detail_confirmed,True
yaeno-gl,八重山農林,やえやまのうりん,沖縄県立八重山農林高等学校,グリーンライフ科,,全日制,宮古・八重山,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／当該年度の公式ランク表を確認できず,学校指定の面接／200点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・作文。,7,school_detail_confirmed,True
yaeno-fp,八重山農林,やえやまのうりん,沖縄県立八重山農林高等学校,フードプロデュース科,,全日制,宮古・八重山,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／当該年度の公式ランク表を確認できず,学校指定の面接／200点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・作文。,7,school_detail_confirmed,True
yaeno-ls,八重山農林,やえやまのうりん,沖縄県立八重山農林高等学校,ライフスキル科,,全日制,宮古・八重山,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／当該年度の公式ランク表を確認できず,学校指定の面接／200点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・作文。,7,school_detail_confirmed,True
gushikawa-f,具志川,ぐしかわ,沖縄県立具志川高等学校,普通科,,全日制,中部,令和8年度,previous_reference,240,60,25,4.5:5.5,exam_emphasis_4_5_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,スポーツ／文化／資格／校内活動／社会活動／学校別実績表あり,学校が示す受検案内に基づく面接,,令和8年度参考。一般選抜は4.5:5.5。特色選抜は25%以内。 検査は面接。,9,school_detail_confirmed,True
gushisho-ob,具志川商業,ぐしかわしょうぎょう,沖縄県立具志川商業高等学校,オフィスビジネス科,,全日制,中部,令和8年度,previous_reference,40,14,35,5:5,standard_5_5,True,3年間の評定平均3.0以上／活動実績1件、または特別枠の指定活動条件に該当すること,部活動・文化活動／商業資格・検定／特別活動・社会活動／学校別実績表あり,個人面接／10分程度／40点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は35%以内。 検査は面接・実技・個人面接。,8,school_detail_confirmed,True
gushisho-bm,具志川商業,ぐしかわしょうぎょう,沖縄県立具志川商業高等学校,ビジネスマルチメディア科,,全日制,中部,令和8年度,previous_reference,40,14,35,5:5,standard_5_5,True,3年間の評定平均3.0以上／活動実績1件、または特別枠の指定活動条件に該当すること,部活動・文化活動／商業資格・検定／特別活動・社会活動／学校別実績表あり,個人面接／10分程度／40点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は35%以内。 検査は面接・実技・個人面接。,8,school_detail_confirmed,True
gushisho-rk,具志川商業,ぐしかわしょうぎょう,沖縄県立具志川商業高等学校,リゾート観光科,,全日制,中部,令和8年度,previous_reference,40,14,35,5:5,standard_5_5,True,3年間の評定平均3.0以上／活動実績1件、または特別枠の指定活動条件に該当すること,部活動・文化活動／商業資格・検定／特別活動・社会活動／学校別実績表あり,個人面接／10分程度／40点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は35%以内。 検査は面接・実技・個人面接。,8,school_detail_confirmed,True
gushisho-js,具志川商業,ぐしかわしょうぎょう,沖縄県立具志川商業高等学校,情報システム科,,全日制,中部,令和8年度,previous_reference,80,28,35,5:5,standard_5_5,True,3年間の評定平均3.0以上／活動実績1件、または特別枠の指定活動条件に該当すること,部活動・文化活動／商業資格・検定／特別活動・社会活動／学校別実績表あり,個人面接／10分程度／40点,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は35%以内。 検査は面接・実技・個人面接。,8,school_detail_confirmed,True
maehara-br,前原,まえはら,沖縄県立前原高等学校,普通科,文理,全日制,中部,令和8年度,previous_reference,240,60,25,5:5,standard_5_5,True,文理コースでの学習に強い意欲があり、学校資料の評定・出欠要件を満たすこと,学校別実績表あり,コース別面接,,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接。,8,school_detail_confirmed,True
maehara-sp,前原,まえはら,沖縄県立前原高等学校,普通科,総合スポーツ,全日制,中部,令和8年度,previous_reference,40,10,25,5:5,standard_5_5,True,評定平均3.0以上／評定1がないこと／無届欠席3年間合計3日以内／欠席3年間合計30日以内,学校別実績表あり,コース別面接,,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接・実技。,8,school_detail_confirmed,True
maehara-en,前原,まえはら,沖縄県立前原高等学校,普通科,英語,全日制,中部,令和8年度,previous_reference,40,10,25,5:5,standard_5_5,True,英語コースの学習に強い意欲があり、学校資料の評定・出欠要件を満たすこと,学校別実績表あり,コース別面接,,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接・学校独自検査。,8,school_detail_confirmed,True
kitanaka-f,北中城,きたなかぐすく,沖縄県立北中城高等学校,普通科,,全日制,中部,令和8年度,previous_reference,280,56,20,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,特別活動／部活動・文化活動／資格／社会活動／学校別実績表あり,個人面接（目安10分）／20点,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,8,school_detail_confirmed,True
hokuzan-f,北山,ほくざん,沖縄県立北山高等学校,普通科,,全日制,北部,令和8年度,previous_reference,80,20,25,5:5,standard_5_5,True,通常枠は学校の求める生徒像と活動実績基準を満たすこと／特別枠は5教科評定平均3.0以上かつAランク相当の実績が必要,文化・スポーツ／資格／生徒会・社会活動／学校別実績表あり,個人面接（目安10分）／35点,,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接。,7,school_detail_confirmed,True
hokuzan-ri,北山,ほくざん,沖縄県立北山高等学校,理数科,,全日制,北部,令和8年度,previous_reference,40,14,35,5:5,standard_5_5,True,理数分野への高い関心と学校資料の出願要件を満たすこと,文化・スポーツ／資格／生徒会・社会活動／学校別実績表あり,個人面接（目安10分）／35点,面接／口頭試問,令和8年度参考。一般選抜は5:5。特色選抜は35%以内。 検査は面接・学校独自検査・口頭試問。,7,school_detail_confirmed,True
chatan-f,北谷,ちゃたん,沖縄県立北谷高等学校,普通科,,全日制,中部,令和8年度,previous_reference,280,56,20,5:5,standard_5_5,True,評定平均3.0以上／各学年の無届欠席5日以内,生徒会・学級活動／部活動・文化活動／資格／地域活動／当該年度の公式ランク表を確認できず,学校指定の面接／35点,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,7,school_detail_confirmed,True
hokuno-agritech,北部農林,ほくぶのうりん,沖縄県立北部農林高等学校,アグリテクノ科,,全日制,北部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／特別活動／部活動・文化活動／資格／地域活動／学校別実績表あり,学科別の面接・プレゼンテーション等／250点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,9,school_detail_confirmed,True
hokuno-life-create,北部農林,ほくぶのうりん,沖縄県立北部農林高等学校,ライフ創造科,,全日制,北部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／特別活動／部活動・文化活動／資格／地域活動／学校別実績表あり,学科別の面接・プレゼンテーション等／250点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,9,school_detail_confirmed,True
hokuno-resource-design,北部農林,ほくぶのうりん,沖縄県立北部農林高等学校,地域資源デザイン科,,全日制,北部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／特別活動／部活動・文化活動／資格／地域活動／学校別実績表あり,学科別の面接・プレゼンテーション等／250点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,9,school_detail_confirmed,True
hokuno-food-create,北部農林,ほくぶのうりん,沖縄県立北部農林高等学校,食品クリエイト科,,全日制,北部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／特別活動／部活動・文化活動／資格／地域活動／学校別実績表あり,学科別の面接・プレゼンテーション等／250点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,9,school_detail_confirmed,True
hokuno-night-agri,北部農林,ほくぶのうりん,沖縄県立北部農林高等学校,農業科,,定時制,北部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,専門分野の活動／特別活動／部活動・文化活動／資格／地域活動／学校別実績表あり,学科別の面接・プレゼンテーション等／250点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,9,school_detail_confirmed,True
nanbusho-office,南部商業,なんぶしょうぎょう,沖縄県立南部商業高等学校,オフィスクリエイト科,,全日制,南部,令和8年度,previous_reference,40,18,45,5:5,standard_5_5,True,3年間の評定平均3.0以上,商業資格・検定／部活動・文化活動／特別活動・地域活動／学校別実績表あり,個人面接／10分程度／50点,プレゼンテーション／個人面接,令和8年度参考。一般選抜は5:5。特色選抜は45%以内。 検査は面接・プレゼン・プレゼンテーション・個人面接。,9,school_detail_confirmed,True
nanbusho-digi,南部商業,なんぶしょうぎょう,沖縄県立南部商業高等学校,デジタルクリエイト科,,全日制,南部,令和8年度,previous_reference,40,18,45,5:5,standard_5_5,True,3年間の評定平均3.0以上,商業資格・検定／部活動・文化活動／特別活動・地域活動／学校別実績表あり,個人面接／10分程度／50点,プレゼンテーション／個人面接,令和8年度参考。一般選抜は5:5。特色選抜は45%以内。 検査は面接・プレゼン・プレゼンテーション・個人面接。,9,school_detail_confirmed,True
nanbusho-ryu,南部商業,なんぶしょうぎょう,沖縄県立南部商業高等学校,流通クリエイト科,,全日制,南部,令和8年度,previous_reference,40,18,45,5:5,standard_5_5,True,3年間の評定平均3.0以上,商業資格・検定／部活動・文化活動／特別活動・地域活動／学校別実績表あり,個人面接／10分程度／50点,プレゼンテーション／個人面接,令和8年度参考。一般選抜は5:5。特色選抜は45%以内。 検査は面接・プレゼン・プレゼンテーション・個人面接。,9,school_detail_confirmed,True
nanbusho-kanko,南部商業,なんぶしょうぎょう,沖縄県立南部商業高等学校,観光クリエイト科,,全日制,南部,令和8年度,previous_reference,40,18,45,5:5,standard_5_5,True,3年間の評定平均3.0以上,商業資格・検定／部活動・文化活動／特別活動・地域活動／学校別実績表あり,個人面接／10分程度／50点,プレゼンテーション／個人面接,令和8年度参考。一般選抜は5:5。特色選抜は45%以内。 検査は面接・プレゼン・プレゼンテーション・個人面接。,9,school_detail_confirmed,True
nanbuko-kd,南部工業,なんぶこうぎょう,沖縄県立南部工業高等学校,建築設備科,建築デザイン,全日制,南部,令和8年度,previous_reference,20,6,30,5:5,standard_5_5,True,3年間の評定平均2.0以上,専門分野の活動／部活動・文化活動／資格／特別活動／当該年度の公式ランク表を確認できず,個人面接／10分程度／20点,作文／個人面接,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・作文・個人面接。,8,school_detail_confirmed,True
nanbuko-sg,南部工業,なんぶこうぎょう,沖縄県立南部工業高等学校,建築設備科,設備工学,全日制,南部,令和8年度,previous_reference,20,6,30,5:5,standard_5_5,True,3年間の評定平均2.0以上,専門分野の活動／部活動・文化活動／資格／特別活動／当該年度の公式ランク表を確認できず,個人面接／10分程度／20点,作文／個人面接,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・作文・個人面接。,8,school_detail_confirmed,True
nanbuko-ki,南部工業,なんぶこうぎょう,沖縄県立南部工業高等学校,機械科,,全日制,南部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,3年間の評定平均2.0以上,専門分野の活動／部活動・文化活動／資格／特別活動／当該年度の公式ランク表を確認できず,個人面接／10分程度／20点,作文／個人面接,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・作文・個人面接。,8,school_detail_confirmed,True
nanbuko-de,南部工業,なんぶこうぎょう,沖縄県立南部工業高等学校,電気科,,全日制,南部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,3年間の評定平均2.0以上,専門分野の活動／部活動・文化活動／資格／特別活動／当該年度の公式ランク表を確認できず,個人面接／10分程度／20点,作文／個人面接,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接・作文・個人面接。,8,school_detail_confirmed,True
nanbuno-ks,南部農林,なんぶのうりん,沖縄県立南部農林高等学校,環境創造科,,全日制,南部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,評定平均3.0以上／中学3年に評定1がないこと／無届欠席3年間合計10日以内,特別活動／部活動・文化活動／資格／地域・社会活動／学校別実績表あり,学校指定の面接／50点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,9,school_detail_confirmed,True
nanbuno-sd,南部農林,なんぶのうりん,沖縄県立南部農林高等学校,生活デザイン科,,全日制,南部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,評定平均3.0以上／中学3年に評定1がないこと／無届欠席3年間合計10日以内,特別活動／部活動・文化活動／資格／地域・社会活動／学校別実績表あり,学校指定の面接／50点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,9,school_detail_confirmed,True
nanbuno-sb,南部農林,なんぶのうりん,沖縄県立南部農林高等学校,生物資源科,,全日制,南部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,評定平均3.0以上／中学3年に評定1がないこと／無届欠席3年間合計10日以内,特別活動／部活動・文化活動／資格／地域・社会活動／学校別実績表あり,学校指定の面接／50点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,9,school_detail_confirmed,True
nanbuno-sk,南部農林,なんぶのうりん,沖縄県立南部農林高等学校,食品加工科,,全日制,南部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,評定平均3.0以上／中学3年に評定1がないこと／無届欠席3年間合計10日以内,特別活動／部活動・文化活動／資格／地域・社会活動／学校別実績表あり,学校指定の面接／50点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,9,school_detail_confirmed,True
nanbuno-ss,南部農林,なんぶのうりん,沖縄県立南部農林高等学校,食料生産科,,全日制,南部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,評定平均3.0以上／中学3年に評定1がないこと／無届欠席3年間合計10日以内,特別活動／部活動・文化活動／資格／地域・社会活動／学校別実績表あり,学校指定の面接／50点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,9,school_detail_confirmed,True
haebaru-biz,南風原,はえばる,沖縄県立南風原高等学校,普通科,教養ビジネス,全日制,南部,令和8年度,previous_reference,80,16,20,5:5,standard_5_5,True,評定平均3.0以上／無届欠席3年間合計10日以内,文化・スポーツ／資格／特別活動・地域活動／学校別実績表あり,学校指定の面接,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,8,school_detail_confirmed,True
haebaru-fs,南風原,はえばる,沖縄県立南風原高等学校,普通科,普通総合,全日制,南部,令和8年度,previous_reference,200,40,20,5:5,standard_5_5,True,評定平均3.0以上／無届欠席3年間合計10日以内,文化・スポーツ／資格／特別活動・地域活動／学校別実績表あり,学校指定の面接,,令和8年度参考。一般選抜は5:5。特色選抜は20%以内。 検査は面接。,8,school_detail_confirmed,True
haebaru-kyodo,南風原,はえばる,沖縄県立南風原高等学校,普通科,郷土文化,全日制,南部,令和8年度,previous_reference,40,10,25,5:5,standard_5_5,True,評定平均3.0以上／無届欠席3年間合計10日以内,文化・スポーツ／資格／特別活動・地域活動／学校別実績表あり,学校指定の面接,,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接・実技。,8,school_detail_confirmed,True
nago-fr,名護,なご,沖縄県立名護高等学校,フロンティア科,,全日制,北部,令和8年度,previous_reference,80,20,25,4.5:5.5,exam_emphasis_4_5_5_5,True,3年間の評定平均4.3以上／行動・出席状況が良好／文化・スポーツ・社会活動・資格等でDランク以上の実績を1つ以上有すること,文化／スポーツ／社会活動・ボランティア／資格／学校別実績表あり,学校指定の面接,,令和8年度参考。一般選抜は4.5:5.5。特色選抜は25%以内。 検査は面接。,7,school_detail_confirmed,True
