source_id,school_name,department,title,target_year,source_type,official_page_url,direct_file_url,file_format,pdf_viewer_page,printed_page,heading,summary,publication_date,last_checked,link_status,notes
itoman-r8-method,糸満,普通科,令和8年度特色選抜 求める生徒像・選抜方法,令和8年度,特色選抜方法,https://www.itoman-h.open.ed.jp/post-3.html,https://www.itoman-h.open.ed.jp/02_%E4%BB%A4%E5%92%8C8%E5%B9%B4%E5%BA%A6_%E7%89%B9%E8%89%B2%E9%81%B8%E6%8A%9C_%E6%B1%82%E3%82%81%E3%82%8B%E7%94%9F%E5%BE%92%E5%83%8F%E3%83%BB%E9%81%B8%E6%8A%9C%E6%96%B9%E6%B3%95.pdf,PDF,1,1,配点、面接、特別枠実技、評定要件,通常355点、特別枠435点。評定平均3.0以上、個人面接、指定部活動の実技。,,2026-07-07,confirmed_official_file,
itoman-r8-rank,糸満,普通科,令和8年度特色選抜入試判定基準ランク表,令和8年度,実績ランク表,https://www.itoman-h.open.ed.jp/post-3.html,https://www.itoman-h.open.ed.jp/03_%E4%BB%A4%E5%92%8C8%E5%B9%B4%E5%BA%A6_%E7%89%B9%E8%89%B2%E9%81%B8%E6%8A%9C%E5%85%A5%E8%A9%A6%E5%9F%BA%E6%BA%96%E3%83%A9%E3%83%B3%E3%82%AF%E8%A1%A8.pdf,PDF,1,1,文化・スポーツ・生徒会・英検・漢検・数検,A-Dランク。英検・漢検・数検は2級以上、準2級、3級をA-Cとして評価。,,2026-07-07,confirmed_official_file,
kadena-r8-ranks-source,嘉手納,総合学科・全コース,令和8年度 主な実績ランク表,令和8年度,特色選抜実績ランク表,https://www.kadena-h.open.ed.jp/,https://www.kadena-h.open.ed.jp/0e58a6bbddd2e771d471ce380b7482f41d1d8fb2.pdf,PDF,1,1,特別活動／部活動／資格取得 A～D,生徒会、社会活動、課題学習、スポーツ、文化、資格をA～Dで評価。,,2026-07-07,confirmed,
kaiho-r8-guidelines,開邦,学術探究科・芸術科,令和8年度入学者選抜募集要項,令和8年度,学校募集要項,https://www.kaiho-h.open.ed.jp/nyushi.html,https://www.kaiho-h.open.ed.jp/R8_nyugakusya_bosyuyoukou_kaiho-h.pdf,PDF,3-19,2-18,募集定員・特色選抜・一般選抜・芸術科実技検査,出願要件、配点、学校独自検査、実技検査、提出書類。,2025-10-30,2026-07-07,confirmed_official_file,
kaiho-r8-page,開邦,全学科,開邦高校 入試情報,令和8年度,学校公式入試情報ページ,https://www.kaiho-h.open.ed.jp/nyushi.html,,HTML,,,令和8年度入学者選抜,募集要項、実績ランク表、学校独自様式の公式入口。,2025-10-30,2026-07-07,confirmed_official_page,
kaiho-r8-rank,開邦,学術探究科・芸術科,令和8年度特色選抜 実績ランク表,令和8年度,実績ランク表,https://www.kaiho-h.open.ed.jp/nyushi.html,https://www.kaiho-h.open.ed.jp/R8_tokusyoku_jissekiRANK.pdf,PDF,1,1,体育系活動・文化系活動・資格取得,A-Dランクの大会実績と英検・漢検・数検級。,2025-10-30,2026-07-07,confirmed_official_file,
koza-night-r7-rank,コザ,商業科・定時制,特色選抜実績ランク表（PDF内部表記は令和7年度）,令和7年度,特色選抜実績ランク表・過年度参考,https://www.koza-h.open.ed.jp/teiji/index.html,https://www.koza-h.open.ed.jp/teiji/nyuusi/jissekirankuhyou.pdf,PDF,1,1,実績ランク表,令和8年度公式ページからリンクされるが、検索索引上のPDF内部表記は令和7年度。,,2026-07-07,year_mismatch_needs_review,令和8年度レコードへ無表示で混在させず、過年度参考として別管理。 2026-07-07再試行でも公式PDF本体は502エラー。
koza-night-r8-selection,コザ,商業科・定時制,令和8年度特色選抜 求める生徒像・選抜方法,令和8年度,学校別特色選抜方法・配点,https://www.koza-h.open.ed.jp/teiji/index.html,https://www.koza-h.open.ed.jp/teiji/nyuusi/tokushokusenbatsu.pdf,PDF,1,1,調査書配点・個人面接,学力検査250点、調査書200点、個人面接15分程度。調査書は評定135、特別活動30、部活動・資格35。,,2026-07-07,confirmed_search_index,公式PDF本体は取得できなかったが、公式PDF検索索引で各数値と面接形式を確認。
koza-r8-decision-standard,コザ,普通科・全日制,令和8年度特色選抜 合否判定基準,令和8年度,特色選抜合否判定基準,https://www.koza-h.open.ed.jp/zennichi/post-2.html,https://www.koza-h.open.ed.jp/zennichi/shiryou/nyuushi/2025/4r8hanteikijun.pdf,PDF,1,1,特色選抜合否判定基準,令和8年度特色選抜の判定基準。学校公式ページで面接を実施しない旨も確認。,,2026-07-07,confirmed_search_index,公式PDF本体は502エラー。
koza-r8-rank-table,コザ,普通科・全日制,令和8年度特色選抜 実績ランク表,令和8年度,特色選抜実績ランク表,https://www.koza-h.open.ed.jp/zennichi/post-2.html,https://www.koza-h.open.ed.jp/zennichi/shiryou/nyuushi/2025/3r8lankhyou.pdf,PDF,1,1,実績ランク A～F,文化・スポーツ・社会活動・資格等をA～Fで評価する公式表。,,2026-07-07,partial_search_index,主要行は検索索引で確認。PDF本体が502エラーのため全行確認は未完。 2026-07-07再試行でも公式PDF本体は502エラー。
koza-r8-selection-method,コザ,普通科・全日制,令和8年度特色選抜 求める生徒像・選抜方法,令和8年度,学校別特色選抜方法・配点,https://www.koza-h.open.ed.jp/zennichi/post-2.html,https://www.koza-h.open.ed.jp/zennichi/shiryou/nyuushi/2025/2R8senbatuhouhou.pdf,PDF,1,1,各選抜項目における配点,学力検査250点、教科評定換算250点、活動実績500点、合計1000点。,,2026-07-07,confirmed_search_index,公式PDFは学校サーバーの502エラーにより直接表示できず、公式PDFの検索索引本文で照合。
kumejima-r8-detail,久米島,園芸科・普通科,令和8年度特色選抜 求める生徒像・選抜方法,令和8年度,特色選抜方法,https://www.kumejima-h.open.ed.jp/admission.html,https://www.kumejima-h.open.ed.jp/r7/pdf/notice/r8_tokusyoku.pdf,PDF,1,1,550点配点、活動実績85点、個人面接50点,学力250点、調査書250点、個人面接50点。校内外の活動3項目を評価。,,2026-07-07,confirmed_official_file,
maehara-r8-rank,前原,普通科・全コース,令和8年度特色選抜 実績ランク表,令和8年度,特色選抜実績ランク表,https://www.maehara-h.open.ed.jp/folder/post-78.html,https://www.maehara-h.open.ed.jp/eac32ff1d7b7a65748581b02c5dc8527d1e7c792.pdf,PDF,1,1,活動実績・資格 A～Eランク,スポーツ、文化、社会・ボランティア、資格等のランク表。,,2026-07-07,confirmed,
mirai-r8-main,美来工科,全6学科,令和8年度入学者選抜募集要項,令和8年度,学校募集要項,https://www.mirai-th.open.ed.jp/cat3672/,https://www.mirai-th.open.ed.jp/2025/boshu_youkou_251126.pdf,PDF,1-9,資料内,特色選抜・一般選抜募集要項,出願手続、募集定員、選抜日程等。,,2026-07-07,confirmed_official_file,
mirai-r8-method,美来工科,全6学科,令和8年度特色選抜 求める生徒像・選抜方法,令和8年度,学科別特色選抜方法,https://www.mirai-th.open.ed.jp/cat3672/post_1055.html,https://www.mirai-th.open.ed.jp/2025/tokushoku_2025-10-31.pdf,PDF,1-6,1-6,学科別出願要件、配点、個人面接,各科の実績要件、評定・欠席条件、500-550点配点、10分程度の個人面接。,,2026-07-07,confirmed_official_file,
mirai-r8-rank,美来工科,全6学科,令和8年度特色選抜合否判定基準・実績評価基準,令和8年度,合否判定基準・実績ランク表,https://www.mirai-th.open.ed.jp/cat3672/post_1065.html,https://www.mirai-th.open.ed.jp/2025/jiseki_hyouka_251121.pdf,PDF,1-2,31-32,A-E実績評価基準,特別活動、文化・スポーツ・社会・ボランティア、資格のランク基準。,,2026-07-07,confirmed_official_file,
misato-r8-ranks-source,美里,普通科,令和8年度 主な実績ランク表,令和8年度,特色選抜実績ランク表,https://www.misato-h.open.ed.jp/nyuushi.html,https://www.misato-h.open.ed.jp/%E4%BB%A4%E5%92%8C8%E5%B9%B4%E5%BA%A6%E4%B8%BB%E3%81%AA%E5%AE%9F%E7%B8%BE%E3%83%A9%E3%83%B3%E3%82%AF%E8%A1%A8.pdf,PDF,1,1,特別活動／部活動・資格取得等 A～D,校内活動、社会・ボランティア、文化、スポーツ、資格をA～Dで評価。,,2026-07-07,confirmed,
miyako-r8-criteria,宮古,普通科・文理探究科,令和8年度特色選抜 求める生徒像・選抜方法,令和8年度,特色選抜方法,https://www.miyako-h.open.ed.jp/,https://www.miyako-h.open.ed.jp/028fb589ce2555715ef327b54be5ae5d5bfe0c79.pdf,PDF,,,求める生徒像、出願要件、選抜方法,評定、欠席、活動実績、学力検査・調査書・面接の配点を確認。,,2026-07-07,confirmed_official_file,
miyako-r8-rank,宮古,普通科・文理探究科,令和8年度特色選抜 求める生徒像・選抜方法,令和8年度,学校別特色選抜方法,https://www.miyako-h.open.ed.jp/,https://www.miyako-h.open.ed.jp/965a85732f922231095abde918b085b32f61ed23.pdf,PDF,,,学力検査・調査書・活動資格・面接,学力検査250点、調査書200点、面接50点。実績ランク表そのものではない。,,2026-07-07,confirmed_official_file,
miyasou-r8-detail,宮古総合実業,全6学科,令和8年度特色選抜 求める生徒像・選抜方法,令和8年度,特色選抜方法,https://www.miyasou-h.open.ed.jp/,https://www.miyasou-h.open.ed.jp/613fbdbac482b651f523ae2e35b66e3b7b5fbbd1.pdf,PDF,,,学科別出願要件、600点配点、独自検査,6学科の評定・欠席要件、作文・面接・討論等を確認。,,2026-07-07,confirmed_official_file,
nagosho-r8-cs,名護商工,地域産業科,令和8年度特色選抜 求める生徒像・選抜方法（地域産業科）,令和8年度,学校別特色選抜詳細,https://www.nago-th.open.ed.jp/cat1451/,https://www.nago-th.open.ed.jp/a0d4a68c5f18d6d2cea477be1105ceb3b1f02bd3.pdf,PDF,1,1,特色選抜［求める生徒像・選抜方法］,学力検査250点、調査書250点、個人面接A～C評価、合計500点。,2025-11-17,2026-07-07,confirmed,
nagosho-r8-evaluation,名護商工,全学科・コース,令和8年度特色選抜評価基準,令和8年度,特色選抜実績・評価基準,https://www.nago-th.open.ed.jp/cat1451/,https://www.nago-th.open.ed.jp/2025/R8hyoukakijun.pdf,PDF,1,1,特別活動／部活動・資格取得等 評価基準,I=25点、II=20点、III=15点、該当外IV=10点。資格は英検・漢検・数検等の級を明示。,2025-11-17,2026-07-07,confirmed,
nagosho-r8-kd,名護商工,工業技術科・電気コース,令和8年度特色選抜 求める生徒像・選抜方法（工業技術科・電気コース）,令和8年度,学校別特色選抜詳細,https://www.nago-th.open.ed.jp/cat1451/,https://www.nago-th.open.ed.jp/b7cd9a44eb1d1256191bc08afb4c25ddf7e9160d.pdf,PDF,1,1,特色選抜［求める生徒像・選抜方法］,学力検査250点、調査書250点、個人面接A～C評価、合計500点。,2025-11-17,2026-07-07,confirmed,
nagosho-r8-ke,名護商工,建築科,令和8年度特色選抜 求める生徒像・選抜方法（建築科）,令和8年度,学校別特色選抜詳細,https://www.nago-th.open.ed.jp/cat1451/,https://www.nago-th.open.ed.jp/53ecc72efb78bef7ee15419e6b9a5360277bbff5.pdf,PDF,1,1,特色選抜［求める生徒像・選抜方法］,学力検査250点、調査書250点、個人面接A～C評価、合計500点。,2025-11-17,2026-07-07,confirmed,
nagosho-r8-km,名護商工,工業技術科・機械コース,令和8年度特色選抜 求める生徒像・選抜方法（工業技術科・機械コース）,令和8年度,学校別特色選抜詳細,https://www.nago-th.open.ed.jp/cat1451/,https://www.nago-th.open.ed.jp/b8367dc724fff55bb88a7064b24001c1fd67397c.pdf,PDF,1,1,特色選抜［求める生徒像・選抜方法］,学力検査250点、調査書250点、個人面接A～C評価、合計500点。,2025-11-17,2026-07-07,confirmed,
nagosho-r8-sh,名護商工,商業科,令和8年度特色選抜 求める生徒像・選抜方法（商業科）,令和8年度,学校別特色選抜詳細,https://www.nago-th.open.ed.jp/cat1451/,https://www.nago-th.open.ed.jp/d0679cc6dbcb76689ece37d55ba1f154bee1583a.pdf,PDF,1,1,特色選抜［求める生徒像・選抜方法］,学力検査250点、調査書250点、個人面接A～C評価、合計500点。,2025-11-17,2026-07-07,confirmed,
nagosho-r8-sj,名護商工,総合情報科,令和8年度特色選抜 求める生徒像・選抜方法（総合情報科）,令和8年度,学校別特色選抜詳細,https://www.nago-th.open.ed.jp/cat1451/,https://www.nago-th.open.ed.jp/90ece1064f6381ef9a0d85d63775835d9e243e97.pdf,PDF,1,1,特色選抜［求める生徒像・選抜方法］,学力検査250点、調査書250点、個人面接A～C評価、合計500点。,2025-11-17,2026-07-07,confirmed,
naha-r8-criteria,那覇,普通科,令和8年度 特色選抜・一般選抜 合否判定基準,令和8年度,合否判定基準,https://www.naha-h.open.ed.jp/post.html,https://www.naha-h.open.ed.jp/1447216b0c97438750e758e2792f0f8422805404.pdf,PDF,1-2,1-2,募集人員・出願要件・選抜方法,特色100名以内、区域外枠、一般4.5:5.5等。,,2026-07-07,confirmed_official_file,
naha-r8-method,那覇,普通科,特色選抜 求める生徒像・選抜方法,令和8年度,特色選抜方法,https://www.naha-h.open.ed.jp/post.html,https://www.naha-h.open.ed.jp/7ac2882fed2af85b6c95165fc416f600925ce8c3.pdf,PDF,1,1,配点・出願条件・面接,学力250点、調査書等300点、面接A-C評価、評定平均4.0以上等。,,2026-07-07,confirmed_official_file,
naha-r8-page,那覇,普通科,那覇高校 高校入試情報,令和8年度,学校公式入試情報ページ,https://www.naha-h.open.ed.jp/post.html,,HTML,,,令和8年度入学者選抜,特色選抜・一般選抜の判定基準と実績ランク表の公式入口。,,2026-07-07,confirmed_official_page,
naha-r8-rank,那覇,普通科,実績点のランク表,令和8年度,実績ランク表,https://www.naha-h.open.ed.jp/post.html,https://www.naha-h.open.ed.jp/62bb4497cbae3e10fa23415efa359261917770dc.pdf,PDF,1,1,文化・スポーツ・資格・特別活動,A1-E等の実績ランクと資格級。,,2026-07-07,confirmed_official_file,
naha-tech-r8-general-adjudication,那覇工業,全学科,令和8年度一般選抜 合否判定基準,令和8年度,一般選抜判定基準,https://www.naha-th.open.ed.jp/,https://www.naha-th.open.ed.jp/goji-ippann.pdf,PDF,,,一般選抜の合否判定,一般選抜の調査書・学力検査等の扱いを確認。,,2026-07-07,confirmed_official_file,
naha-tech-r8-night-guidelines,那覇工業,定時制を含む全学科,令和8年度入学者選抜募集要項,令和8年度,学校募集要項,https://teiji.naha-th.open.ed.jp/2025/10/,https://teiji.naha-th.open.ed.jp/92b1ffae915af1efdec1c960ee9e31f154688bab.pdf,PDF,5-6,3-4,特色選抜 出願手続き・出願書類・選抜方法,特色選抜の標準出願書類と、定時制の募集人員・面接実施を確認。,,2026-07-07,confirmed,
naha-tech-r8-night-special,那覇工業,定時制・全学科,令和8年度特色選抜 求める生徒像・選抜方法（定時制）,令和8年度,学校別特色選抜詳細,https://teiji.naha-th.open.ed.jp/2025/10/,https://teiji.naha-th.open.ed.jp/54a1c94d5aa6aad77e7a71dc90fb560e2a5f331b.pdf,PDF,1,1,特色選抜［求める生徒像・選抜方法］,定時制全学科の学力検査250点、調査書150点、個人面接150点、合計550点。,,2026-07-07,confirmed,機械科・電気科に共通。
naha-tech-r8-special-adjudication,那覇工業,全日制5学科,令和8年度特色選抜 合否判定基準,令和8年度,特色選抜判定基準,https://www.naha-th.open.ed.jp/,https://www.naha-th.open.ed.jp/gohi-tokusyoku.pdf,PDF,,,特色選抜の合否判定,特色選抜の学科別判定方法を確認。,,2026-07-07,confirmed_official_file,
naha-tech-r8-special-criteria,那覇工業,全日制5学科,令和8年度特色選抜 求める生徒像・選抜方法,令和8年度,特色選抜方法,https://www.naha-th.open.ed.jp/,https://www.naha-th.open.ed.jp/eefca525c79513140f16c6eb76d9329685837d89.pdf,PDF,,,学科別出願要件・学校独自検査・配点,全日制5学科の特色選抜の出願条件、面接・口頭試問・実技等を確認。,,2026-07-07,confirmed_official_file,
nahakoku-r8-activity-form,那覇国際,普通科・国際科,活動実績等申請書,令和8年度,学校独自申請書,https://www.nahakokusai-h.open.ed.jp/nyushi-2026.html,https://www.nahakokusai-h.open.ed.jp/caca6a5cc57f02c9e14c6dda5393ee9a164b4405.pdf,PDF,1,1,活動実績等申請,特色選抜で使用する活動実績の申請様式。,,2026-07-07,confirmed_official_file,
nahakoku-r8-guidelines,那覇国際,普通科・国際科,令和8年度入学者選抜募集要項,令和8年度,学校募集要項,https://www.nahakokusai-h.open.ed.jp/nyushi-2026.html,https://www.nahakokusai-h.open.ed.jp/0cdfc9307b88ae284947caf6e1299f3c4f5b7208.pdf,PDF,1-12,0-11,募集定員・特色選抜・一般選抜,評定要件、配点、面接、英語傾斜配点、一般4:6。,,2026-07-07,confirmed_official_file,
nahakoku-r8-page,那覇国際,普通科・国際科,那覇国際高校 令和8年度入試情報,令和8年度,学校公式入試情報ページ,https://www.nahakokusai-h.open.ed.jp/nyushi-2026.html,,HTML,,,令和8年度入学者選抜,募集要項と活動実績等申請書の公式入口。,,2026-07-07,confirmed_official_page,
nanbuno-r8-rank,南部農林,全学科,令和8年度特色選抜 実績評価基準,令和8年度,特色選抜実績ランク表,https://www.nanbu-ah.open.ed.jp/post-21.html,https://www.nanbu-ah.open.ed.jp/ff32b6bcc1648740d19507a0b57da74691ab0a43.pdf,PDF,1,1,活動実績 A～D評価,文化、スポーツ、社会・ボランティア、資格、生徒会を50・30・10・0点で評価。,,2026-07-07,confirmed,
nishihara-r8-detail,西原,普通科（文理・健康科学）,令和8年度入学者選抜募集要項・特色選抜詳細,令和8年度,学校募集要項・学科別特色選抜方法,https://www.nishihara-h.open.ed.jp/nyuushi.html,https://www.nishihara-h.open.ed.jp/940668c5cb94037df45177762ccaa6e5cebc4c16.pdf,PDF,6-10,5-9,文理コース・健康科学コースの出願要件、配点、面接、実技、実績基準,コース別の評定・欠席要件、750点／1000点の配点、個人面接、健康科学の指定競技実技。,,2026-07-07,confirmed_official_file,
okiko-r8-guidelines,沖縄工業,全学科,令和8年度入学者選抜募集要項,令和8年度,学校募集要項,https://www.okinawa-th.open.ed.jp/2025/12/post-164.html,https://www.okinawa-th.open.ed.jp/deab5c7a533747b75a68f20d0a2cfc2aa6bcfea6.pdf,PDF,1-7,1-7,募集定員・特色選抜・一般選抜,全6学科の募集と提出書類。,2025-12-15,2026-07-07,confirmed_official_file,
okiko-r8-method,沖縄工業,全学科,特色選抜 求める生徒像・選抜方法,令和8年度,学科別特色選抜方法,https://www.okinawa-th.open.ed.jp/2025/12/post-164.html,https://www.okinawa-th.open.ed.jp/8ea22cf3c7454f6bf92556e8fea13255751bddcb.pdf,PDF,1-6,1-6,学科別出願要件・配点・独自検査,学科ごとの評定・欠席要件、600点配点、作文・作図・当日課題等。,2025-12-15,2026-07-07,confirmed_official_file,
okiko-r8-page,沖縄工業,全学科,沖縄工業高校 令和8年度入学者選抜情報,令和8年度,学校公式入試情報ページ,https://www.okinawa-th.open.ed.jp/2025/12/post-164.html,,HTML,,,令和8年度入学者選抜,募集要項、特色選抜方法、判定基準、申告書等の公式入口。,2025-12-15,2026-07-07,confirmed_official_page,
okiko-r8-ranks-source,沖縄工業,全学科,令和8年度特色選抜合否判定基準,令和8年度,特色選抜実績ランク表・合否判定基準,https://www.okinawa-th.open.ed.jp/2025/12/post-164.html,https://www.okinawa-th.open.ed.jp/bb17b5ef82b580912d066f5d453b24e56028193f.pdf,PDF,1,1,特色選抜合否判定基準／特別活動等・資格取得ランク,特別活動等と資格取得をA～Dで評価。大会範囲、役職、英検・漢検・数検の級を明記。,,2026-07-07,confirmed,
pref-r8-capacity,沖縄県教育委員会,全校・全学科,令和8年度県立高等学校募集定員,令和8年度,募集定員一覧,https://www.pref.okinawa.jp/kyoiku/gakko/1008883/1008887/1035054.html,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/035/054/08yoko_teiin.pdf,PDF,1-3,1-3,学校別募集定員,学校・学科別の募集定員。,2025-09-01,2026-07-07,confirmed_accessible,
pref-r8-guidelines,沖縄県教育委員会,全校・全学科,令和8年度沖縄県立高等学校全日制・定時制課程入学者選抜実施要項,令和8年度,県実施要項,https://www.pref.okinawa.jp/kyoiku/gakko/1008883/1008887/1035054.html,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/035/054/08yoko_h.pdf,PDF,4-6,2-4,一般選抜の出願区域・第二志望・志願変更,同一校の他課程・他学科・他コースを第2志望（コースは第2希望）にできる共通規則。,2025-09-01,2026-07-07,confirmed_accessible,
pref-r8-info-page,沖縄県教育委員会,,令和8年度県立学校入学者選抜（令和7年度実施）,令和8年度,県教育委員会入試情報ページ,https://www.pref.okinawa.jp/kyoiku/gakko/1008883/1008887/1035054.html,,HTML,,,令和8年度県立学校入学者選抜,令和8年度の実施要項、募集定員、募集学校・学科、特色割合・一般比重等への公式入口。,2025-09-01 / 2025-09-09,2026-07-07,confirmed_accessible,
pref-r8-official-list,沖縄県教育委員会,全校・全学科,令和8年度募集学校・学科等一覧,令和8年度,募集学校・学科一覧,https://www.pref.okinawa.jp/kyoiku/gakko/1008883/1008887/1035054.html,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/035/054/08bosyu.pdf,PDF,1,1,募集学校・学科等,県立高校の募集対象学校・課程・学科・コースの照合用一覧。,2025-09-01,2026-07-07,confirmed_accessible,
pref-r8-ratio,沖縄県教育委員会,全校・全学科,令和8年度 特色選抜募集人員の割合・特別枠・調査書と学力検査等の比重一覧,令和8年度,県全体一覧,https://www.pref.okinawa.jp/kyoiku/gakko/1008883/1008887/1035054.html,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/035/054/08hiju3.pdf,PDF,1-4,1-4,学校・学科・コース別一覧,164学科・コースの定員、特色割合、特別枠、一般選抜比重。,2025-09-09,2026-07-07,confirmed_accessible,割合は「以内」。特別枠の◎はチェック必要、○はチェック不要、×はなし。
pref-r9-info-page,沖縄県教育委員会,,令和9年度県立学校入学者選抜（令和8年度実施）,令和9年度,県教育委員会入試情報ページ,https://www.pref.okinawa.jp/kyoiku/gakko/1008883/1008887/1039961.html,,HTML,,,令和9年度県立学校入学者選抜,令和9年度選抜情報の公開状況。基準日時点では学校説明・体験入学等の情報が中心で、学校別選抜資料は未公表。,2026-05-26,2026-07-07,confirmed_accessible,
school-01-main,辺土名,全学科・コース,令和8年度 辺土名高等学校 学校募集要項,令和8年度,学校募集要項,https://www.hentona-h.open.ed.jp/nyushi.html,https://www.hentona-h.open.ed.jp/R8_Web_HentonaHigh_bosyuyoukou.pdf,PDF,2-6,,募集人員・特色選抜の選抜方法・実績ランク表,学校公式サイトが公開する令和8年度入学者選抜資料。出願要件、選抜方法、活動実績、検査内容等の確認用。,,2026-07-07,confirmed_official_file,PDFページは重要項目で特定できたものをJSON内の項目出典で補足。ページ不明は見出しと資料名で追跡。
school-01-page,辺土名,全学科・コース,令和8年度 辺土名高等学校 学校公式入試情報ページ,令和8年度,学校公式入試情報ページ,https://www.hentona-h.open.ed.jp/nyushi.html,,HTML,,,学校公式入試情報ページ,学校公式サイトが公開する令和8年度入学者選抜資料。出願要件、選抜方法、活動実績、検査内容等の確認用。,,2026-07-07,confirmed_official_page,PDFページは重要項目で特定できたものをJSON内の項目出典で補足。ページ不明は見出しと資料名で追跡。
