existing_id,school_name,department,item,status,reason,searched_sources,recommended_next_action
chubusho-spo,中部商業,生涯スポーツ科,実績ランク詳細,not_found,学校公式の募集要項・特色選抜方法・合否判定基準を確認したが、活動・資格を級別・大会別に並べた独立ランク表を特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-53-criteria-detail / school-53-main / school-53-page,令和9年度の学校別資料公開時に、別紙の評価基準・ランク表が追加されていないか再確認する。
chubusho-sogo,中部商業,総合ビジネス科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
chubusho-sogo,中部商業,総合ビジネス科,実績ランク詳細,not_found,学校公式の募集要項・特色選抜方法・合否判定基準を確認したが、活動・資格を級別・大会別に並べた独立ランク表を特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-53-criteria-detail / school-53-main / school-53-page,令和9年度の学校別資料公開時に、別紙の評価基準・ランク表が追加されていないか再確認する。
chubuno-ek,中部農林,園芸科学科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
chubuno-nr,中部農林,熱帯資源科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
chubuno-fk,中部農林,福祉科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
chubuno-night-agri,中部農林,農業科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
chubuno-zo,中部農林,造園科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
chubuno-sk,中部農林,食品科学科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
kumejima-en,久米島,園芸科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
kumejima-en,久米島,園芸科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / kumejima-r8-detail / school-36-main / school-36-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
kumejima-f,久米島,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
kumejima-f,久米島,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / kumejima-r8-detail / school-36-main / school-36-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
yaeyama-f,八重山,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yaeyama-f,八重山,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-38-main / school-38-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
yaeyama-f,八重山,普通科,配点,not_found,令和8年度の学校公式入試資料を確認したが、特色選抜の項目別数値配点を特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-38-main / school-38-page,令和9年度資料の公開時に、別紙配点表・合否判定基準を再確認する。
yaesho-jb,八重山商工,商業科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yaesho-ka,八重山商工,商業科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yaesho-kk,八重山商工,商業科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yaesho-night-commerce,八重山商工,商業科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yaesho-night-commerce,八重山商工,商業科,配点,not_published,学校公式資料は総合選抜の項目を示すが、項目別配点数値は掲載していない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-51-main / school-51-page / yaesho-night-r8-detail / yaesho-r8-entry / yaesho-r8-method / yaesho-r8-rank,令和9年度定時制資料公開後に再確認する。
yaesho-jg,八重山商工,情報技術科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yaesho-kd,八重山商工,機械電気科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yaesho-km,八重山商工,機械電気科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yaeno-af,八重山農林,アグリフード科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yaeno-af,八重山農林,アグリフード科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-42-main / school-42-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
yaeno-gl,八重山農林,グリーンライフ科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yaeno-gl,八重山農林,グリーンライフ科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-42-main / school-42-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
yaeno-fp,八重山農林,フードプロデュース科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yaeno-fp,八重山農林,フードプロデュース科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-42-main / school-42-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
yaeno-ls,八重山農林,ライフスキル科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yaeno-ls,八重山農林,ライフスキル科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-42-main / school-42-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
gushikawa-f,具志川,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
gushikawa-f,具志川,普通科,配点,not_found,令和8年度の学校公式入試資料を確認したが、特色選抜の項目別数値配点を特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / gushikawa-r8-interview / gushikawa-r8-rank / school-11-main / school-11-page,令和9年度資料の公開時に、別紙配点表・合否判定基準を再確認する。
gushisho-ob,具志川商業,オフィスビジネス科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
gushisho-bm,具志川商業,ビジネスマルチメディア科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
gushisho-rk,具志川商業,リゾート観光科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
gushisho-js,具志川商業,情報システム科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
maehara-br,前原,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
maehara-en,前原,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
maehara-sp,前原,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
kitanaka-f,北中城,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
hokuzan-f,北山,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
hokuzan-ri,北山,理数科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
chatan-f,北谷,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
chatan-f,北谷,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-15-main / school-15-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
hokuno-agritech,北部農林,アグリテクノ科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
hokuno-life-create,北部農林,ライフ創造科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
hokuno-resource-design,北部農林,地域資源デザイン科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
hokuno-night-agri,北部農林,農業科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
hokuno-food-create,北部農林,食品クリエイト科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbusho-office,南部商業,オフィスクリエイト科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbusho-digi,南部商業,デジタルクリエイト科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbusho-ryu,南部商業,流通クリエイト科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbusho-kanko,南部商業,観光クリエイト科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbuko-kd,南部工業,建築設備科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbuko-sg,南部工業,建築設備科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbuko-kd,南部工業,建築設備科,実績ランク詳細,not_found,活動実績50点は確認できたが、ランク・大会範囲・資格級別の具体的基準表は公式資料で確認できず。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-48-main / school-48-page,令和9年度資料公開時に、学校が別紙ランク表を公開するか再確認する。
nanbuko-sg,南部工業,建築設備科,実績ランク詳細,not_found,活動実績50点は確認できたが、ランク・大会範囲・資格級別の具体的基準表は公式資料で確認できず。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-48-main / school-48-page,令和9年度資料公開時に、学校が別紙ランク表を公開するか再確認する。
nanbuko-ki,南部工業,機械科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbuko-ki,南部工業,機械科,実績ランク詳細,not_found,活動実績50点は確認できたが、ランク・大会範囲・資格級別の具体的基準表は公式資料で確認できず。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-48-main / school-48-page,令和9年度資料公開時に、学校が別紙ランク表を公開するか再確認する。
nanbuko-de,南部工業,電気科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbuko-de,南部工業,電気科,実績ランク詳細,not_found,活動実績50点は確認できたが、ランク・大会範囲・資格級別の具体的基準表は公式資料で確認できず。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-48-main / school-48-page,令和9年度資料公開時に、学校が別紙ランク表を公開するか再確認する。
nanbuno-ks,南部農林,環境創造科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbuno-sd,南部農林,生活デザイン科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbuno-sb,南部農林,生物資源科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbuno-sk,南部農林,食品加工科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nanbuno-ss,南部農林,食料生産科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
haebaru-biz,南風原,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
haebaru-fs,南風原,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
haebaru-kyodo,南風原,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
haebaru-biz,南風原,普通科,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-32-criteria-detail / school-32-main / school-32-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
haebaru-fs,南風原,普通科,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-32-criteria-detail / school-32-main / school-32-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
haebaru-kyodo,南風原,普通科,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-32-criteria-detail / school-32-main / school-32-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
nago-fr,名護,フロンティア科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nago-fr,名護,フロンティア科,配点,not_published,学校公式資料は選抜項目と実績ランクを示すが、項目別の配点数値を掲載していない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-04-main / school-04-page,令和9年度学校別選抜方法の公開後に再確認する。
